bedrooms,bathrooms,square_feet,location,year_built,garage,has_pool,property_type,num_floors,has_basement,price,price_category
3,1,3022,Harlem,1993,1,1,Condo,3,0,967449,High
5,2,988,Staten Island,2011,0,0,Condo,1,1,624980,Low
2,1,2272,Brooklyn,2001,0,0,Apartment,3,0,702201,Low
2,4,1273,Harlem,1984,0,0,Apartment,1,1,601261,Low
1,2,2489,Queens,2015,1,0,Apartment,2,0,680153,Low
4,2,3451,Staten Island,2002,0,1,Condo,1,0,973139,High
1,3,2102,Harlem,1998,1,1,Apartment,3,0,772071,Medium
4,4,3051,Brooklyn,2008,1,0,Apartment,3,1,1057767,High
2,2,1192,Harlem,2021,0,1,House,3,0,650912,Low
1,1,3379,Harlem,2002,0,1,Condo,3,0,862875,Medium
6,4,3152,Queens,1988,1,1,Apartment,1,0,1093550,High
5,3,682,Bronx,1997,0,1,Condo,1,1,668415,Low
3,4,2966,Manhattan,2010,0,0,Apartment,1,0,989642,High
4,1,3738,Bronx,2016,1,1,Apartment,1,0,1012288,High
6,3,1013,Bronx,1996,0,1,Condo,3,0,789476,Medium
3,1,3100,Manhattan,1997,1,1,Condo,2,1,1016243,High
3,4,3393,Harlem,2006,0,1,Condo,2,1,1072542,High
1,3,797,Bronx,2000,0,1,Condo,3,1,477552,Low
3,1,2906,Bronx,1980,1,0,House,2,1,868343,Medium
5,4,2312,Brooklyn,2011,1,1,Condo,1,0,993697,High
6,1,2945,Brooklyn,1993,1,1,Apartment,2,1,1108545,High
3,2,1903,Queens,1993,1,1,Apartment,1,0,732662,Low
1,4,899,Staten Island,2012,0,1,Condo,1,0,463090,Low
5,3,728,Harlem,2015,0,0,Condo,1,1,678107,Low
2,3,3145,Queens,2018,0,1,Condo,3,0,920745,Medium
6,2,2506,Brooklyn,1991,1,1,Condo,1,1,1051306,High
3,1,3085,Brooklyn,2004,0,0,Condo,3,0,912438,Medium
1,1,2315,Manhattan,1994,1,1,Apartment,3,0,794664,Medium
2,3,3963,Manhattan,1999,1,0,House,2,0,1116856,High
2,1,806,Brooklyn,2013,1,1,Condo,2,1,562026,Low
4,4,2624,Bronx,1993,0,1,Condo,2,1,933199,Medium
5,4,893,Queens,2009,0,0,Condo,3,1,735190,Low
3,3,2563,Brooklyn,1992,1,0,Condo,3,1,951584,High
1,4,2473,Harlem,1993,1,0,House,1,0,772306,Medium
4,3,2606,Brooklyn,2008,1,1,House,3,1,1038845,High
5,1,2676,Manhattan,2005,0,1,Apartment,1,1,1017118,High
4,1,2826,Queens,1982,1,1,Condo,2,0,917558,Medium
6,1,2688,Queens,2004,1,0,Condo,3,1,952066,High
5,2,1815,Staten Island,2006,1,0,Apartment,1,1,757033,Low
5,3,2991,Brooklyn,2019,0,1,Apartment,1,1,1059370,High
3,4,2372,Staten Island,1995,0,1,Condo,3,0,819778,Medium
5,1,3463,Manhattan,2017,1,0,House,2,0,1127986,High
4,2,3384,Staten Island,1990,1,0,Apartment,1,1,943862,High
5,4,1225,Bronx,2008,1,1,Condo,3,1,847945,Medium
3,4,877,Brooklyn,2003,0,1,Condo,3,1,706925,Low
3,4,1128,Brooklyn,2008,0,1,Condo,1,1,734823,Low
6,1,2733,Queens,2013,1,1,Apartment,1,0,961933,High
4,4,2524,Staten Island,1990,0,0,Apartment,1,1,833304,Medium
2,3,2964,Queens,1999,1,1,Apartment,3,1,921375,Medium
2,2,2480,Harlem,1999,0,0,Condo,3,0,762072,Low
5,4,2525,Staten Island,1988,1,1,Apartment,3,1,986339,High
6,4,1292,Staten Island,2002,0,1,Condo,2,0,826614,Medium
1,3,1960,Manhattan,2015,1,1,House,2,1,826080,Medium
5,4,1462,Staten Island,2006,1,0,House,3,1,812208,Medium
6,1,3816,Queens,2003,1,1,House,1,0,1202481,High
4,1,2962,Harlem,2019,0,0,Apartment,3,1,930660,Medium
4,1,824,Staten Island,2004,1,1,Condo,3,1,612041,Low
4,4,3725,Staten Island,2004,1,1,Apartment,2,1,1087059,High
4,2,2517,Brooklyn,2012,1,0,House,3,1,991573,High
4,2,2567,Brooklyn,2010,1,1,Condo,1,0,940175,Medium
6,4,2556,Harlem,1989,0,0,House,2,1,1054900,High
6,2,2439,Brooklyn,2018,0,0,Condo,3,0,1018933,High
3,2,667,Bronx,1994,1,0,Apartment,2,0,486611,Low
2,4,2242,Brooklyn,1980,0,1,Condo,1,1,855950,Medium
4,1,1620,Bronx,1995,1,1,House,1,1,728871,Low
1,4,1700,Harlem,2000,0,0,Condo,3,0,649444,Low
6,1,2162,Bronx,1981,1,1,Condo,3,0,926125,Medium
1,1,3503,Harlem,1982,1,1,House,2,1,937410,Medium
1,2,3826,Queens,1994,1,1,House,1,1,1004708,High
1,2,3743,Brooklyn,2011,1,0,House,3,1,1023605,High
3,1,2124,Staten Island,2006,1,0,House,1,1,741502,Low
6,1,2070,Manhattan,2015,1,1,Condo,3,1,1073559,High
1,2,2315,Staten Island,2014,0,0,Condo,3,1,640481,Low
4,3,2182,Brooklyn,2018,0,1,House,1,0,892286,Medium
5,1,1982,Staten Island,2003,0,1,Condo,3,1,843297,Medium
1,1,1900,Brooklyn,1987,1,1,House,3,1,721032,Low
3,1,3530,Brooklyn,1986,0,1,Condo,3,1,1035377,High
6,2,1936,Staten Island,1983,1,1,Apartment,3,1,885060,Medium
3,4,3776,Bronx,2009,0,1,Condo,3,0,1053790,High
1,1,3618,Queens,1989,1,0,House,3,1,891384,Medium
6,1,3766,Queens,2004,0,1,Apartment,3,1,1132605,High
5,1,1842,Queens,2021,1,0,Apartment,3,1,768270,Medium
1,4,2305,Queens,2011,0,0,House,2,1,746734,Low
3,4,2501,Manhattan,2011,1,1,House,3,0,1057819,High
2,1,2567,Harlem,2011,0,0,Condo,3,1,804253,Medium
4,1,3799,Brooklyn,1989,1,1,Condo,2,0,1118859,High
3,3,2847,Manhattan,1988,0,0,Apartment,2,1,952563,High
6,4,2979,Queens,2004,0,1,Condo,1,0,1107556,High
1,3,3194,Queens,2004,0,1,Condo,1,0,839849,Medium
4,1,2279,Staten Island,2020,0,0,Condo,1,0,720943,Low
1,1,1915,Queens,1995,0,1,Apartment,1,1,616116,Low
6,1,2713,Brooklyn,1995,0,1,Condo,2,0,1043855,High
1,1,1330,Queens,2009,1,0,Condo,1,0,446783,Low
2,2,1167,Queens,2017,0,1,House,3,1,635559,Low
4,2,3304,Manhattan,1984,1,0,Apartment,2,1,1072294,High
4,2,3051,Brooklyn,1986,0,1,House,3,1,1064106,High
6,3,2348,Bronx,1992,1,1,Apartment,1,1,949770,High
2,4,2229,Staten Island,1987,0,0,House,1,0,716924,Low
3,1,3265,Bronx,2012,1,1,House,3,1,944827,High
1,4,1195,Harlem,1989,1,0,House,1,0,613979,Low
5,2,1247,Manhattan,1999,1,0,House,1,1,871824,Medium
1,1,2793,Queens,2011,0,0,Condo,1,0,669708,Low
1,1,3408,Staten Island,2008,0,1,Condo,1,1,826743,Medium
3,3,2153,Harlem,1980,0,0,Condo,3,1,832134,Medium
1,4,724,Harlem,2006,1,0,House,1,1,561733,Low
2,3,2137,Brooklyn,1999,0,1,Apartment,2,1,807162,Medium
2,2,1955,Staten Island,1993,1,0,Apartment,3,0,647612,Low
4,4,1079,Harlem,1994,0,1,House,3,1,814246,Medium
6,2,1601,Manhattan,1985,1,0,House,2,1,925285,Medium
5,3,1311,Queens,1981,0,1,Condo,1,1,791808,Medium
1,3,2570,Manhattan,2008,0,1,House,3,0,935792,Medium
1,1,3362,Harlem,2018,0,1,Condo,2,1,865995,Medium
3,4,2021,Brooklyn,2011,1,1,Condo,2,1,924903,Medium
6,4,2417,Bronx,1984,1,1,House,2,1,1059479,High
2,1,1414,Queens,2001,0,1,Apartment,3,1,560137,Low
5,4,3701,Queens,2007,0,0,Apartment,2,0,1089698,High
4,2,655,Manhattan,2011,1,0,House,2,1,775447,Medium
2,2,2254,Manhattan,2008,1,1,Condo,2,0,914424,Medium
6,3,731,Manhattan,2019,0,0,Condo,3,0,808525,Medium
4,2,830,Harlem,1982,0,1,Apartment,2,1,651610,Low
3,4,994,Queens,2010,0,0,Condo,3,0,661522,Low
3,1,3823,Manhattan,1992,1,1,Apartment,3,1,1135102,High
1,3,1581,Staten Island,1985,1,0,House,2,0,595135,Low
6,1,3610,Harlem,2000,0,0,House,1,0,1135098,High
5,3,1532,Harlem,1993,1,1,Condo,3,1,898302,Medium
4,3,2129,Staten Island,2004,0,0,House,2,0,800229,Medium
2,1,2009,Staten Island,1986,0,1,House,3,0,664666,Low
6,2,3555,Harlem,2022,1,1,Condo,2,1,1184047,High
6,2,1132,Queens,2001,0,0,Condo,2,1,768747,Medium
3,2,1564,Manhattan,2011,0,0,Apartment,1,0,737290,Low
1,2,3095,Brooklyn,2020,0,0,House,3,0,844718,Medium
1,1,2773,Manhattan,2011,1,1,House,3,0,857420,Medium
4,4,1154,Queens,2021,0,0,Condo,3,1,672704,Low
3,3,3341,Staten Island,2009,1,0,House,3,0,966923,High
6,1,3136,Queens,1996,1,0,Apartment,2,0,1004283,High
5,2,3259,Manhattan,2019,0,0,Apartment,3,0,1127921,High
3,2,3538,Queens,2017,1,0,Condo,1,1,966258,High
4,1,3093,Brooklyn,2000,0,0,House,3,1,1027063,High
4,3,2093,Queens,2005,1,1,Apartment,2,0,833792,Medium
3,1,3155,Bronx,2022,1,0,House,2,1,909051,Medium
4,1,3104,Queens,1982,0,1,Condo,2,1,945225,High
3,4,3633,Manhattan,2017,0,1,Condo,2,0,1151171,High
2,1,984,Bronx,1996,1,0,House,2,0,446441,Low
3,4,1311,Staten Island,2018,1,1,Apartment,3,1,681704,Low
3,3,3576,Manhattan,1985,0,0,Condo,3,1,1102104,High
4,1,2071,Harlem,2000,0,1,House,2,0,811224,Medium
4,1,3786,Brooklyn,2019,1,0,House,2,0,1109252,High
1,2,3099,Queens,1992,1,1,Apartment,3,1,834906,Medium
1,1,1253,Queens,1988,0,0,Condo,2,1,504478,Low
2,2,1742,Manhattan,1984,0,0,House,2,1,725629,Low
1,2,1716,Queens,2022,1,0,Condo,1,0,588521,Low
3,2,3168,Queens,1986,0,1,Condo,1,0,902168,Medium
4,3,2208,Staten Island,2017,1,0,Condo,1,1,790441,Medium
1,4,1137,Queens,2017,0,1,House,1,1,625512,Low
1,2,2056,Queens,2010,1,0,House,2,1,717868,Low
2,1,2497,Staten Island,1983,0,0,Apartment,2,0,666674,Low
6,1,2792,Harlem,1992,1,1,Apartment,2,0,1014898,High
2,2,1691,Queens,1994,1,0,Condo,2,0,671621,Low
3,2,1299,Harlem,2019,0,1,House,1,0,680541,Low
4,1,2501,Staten Island,1992,1,0,Condo,3,1,822114,Medium
2,2,2778,Brooklyn,2022,0,1,House,2,0,861736,Medium
1,4,1332,Queens,2022,0,1,House,2,0,609913,Low
4,4,1904,Manhattan,2022,0,0,Condo,3,1,959247,High
4,3,2412,Bronx,2005,0,0,Apartment,3,1,836065,Medium
1,2,2275,Brooklyn,1998,0,1,House,3,1,773693,Medium
2,3,1112,Queens,1980,1,0,Condo,1,0,576427,Low
1,3,3287,Manhattan,1992,0,1,Apartment,2,0,949462,High
6,3,600,Bronx,2004,0,1,Apartment,1,0,662182,Low
4,2,2565,Staten Island,1999,0,0,House,1,1,814828,Medium
5,3,1031,Queens,2020,1,1,Condo,3,0,723315,Low
5,4,3038,Harlem,2002,0,1,Apartment,3,0,1057392,High
3,3,1889,Harlem,2003,0,1,House,1,0,755797,Low
1,4,998,Staten Island,2022,1,0,Condo,3,1,558501,Low
1,4,1407,Brooklyn,2020,0,0,House,3,0,709983,Low
3,2,1879,Harlem,2018,0,0,Condo,3,0,723423,Low
3,3,3042,Bronx,2019,1,0,House,1,1,868462,Medium
3,2,1551,Harlem,2009,1,1,House,1,0,734253,Low
4,4,2821,Bronx,2013,1,0,Condo,2,0,977340,High
6,1,1668,Harlem,1989,1,0,House,3,0,861502,Medium
1,3,1454,Staten Island,2020,0,0,Condo,1,1,534459,Low
4,2,3812,Staten Island,1980,1,0,Apartment,3,1,1040050,High
3,1,3186,Harlem,1991,1,0,Apartment,2,1,899684,Medium
1,3,1344,Brooklyn,2008,1,1,House,2,0,683118,Low
4,3,3368,Manhattan,1990,1,0,Condo,2,1,1122891,High
6,2,2697,Harlem,2020,0,0,Apartment,2,0,964527,High
4,1,3732,Queens,1996,0,0,Condo,2,0,990429,High
6,2,842,Manhattan,1999,0,0,Apartment,3,1,758378,Low
3,3,3940,Harlem,2017,0,1,Condo,2,0,1088398,High
6,3,1763,Bronx,1985,0,0,Condo,1,0,800369,Medium
1,4,3828,Queens,1999,0,1,Apartment,3,0,934482,Medium
3,3,3244,Brooklyn,1989,1,0,Apartment,3,1,1015454,High
1,3,2219,Manhattan,1989,0,1,House,2,0,806254,Medium
5,1,875,Manhattan,2010,1,0,Condo,2,0,729237,Low
2,1,3702,Queens,2005,0,1,House,3,1,981731,High
6,4,607,Brooklyn,1996,0,1,Apartment,1,1,794064,Medium
2,4,1314,Harlem,1993,1,0,Apartment,3,0,689182,Low
2,4,2558,Brooklyn,1984,0,1,Condo,2,1,858587,Medium
6,2,2680,Harlem,1982,0,1,Condo,2,1,1039615,High
3,2,1409,Manhattan,2022,1,0,Apartment,1,1,757125,Low
5,4,2072,Harlem,1999,0,1,House,1,0,935223,Medium
1,2,1527,Manhattan,1994,0,0,Condo,1,0,628674,Low
4,3,1461,Staten Island,1982,0,1,Condo,2,0,699717,Low
1,4,636,Queens,1982,1,0,House,1,0,474406,Low
4,4,2681,Brooklyn,2002,1,1,Apartment,1,0,1039724,High
1,2,1054,Bronx,1988,0,1,Apartment,2,0,469484,Low
6,1,1043,Queens,1990,1,1,Apartment,3,1,778768,Medium
5,4,3908,Harlem,2020,1,1,Apartment,1,0,1234820,High
4,2,811,Staten Island,1992,1,1,House,1,0,622068,Low
3,2,3811,Queens,1987,0,0,Apartment,2,0,982719,High
1,1,3349,Manhattan,2001,1,0,Condo,2,0,915051,Medium
1,4,3255,Queens,2017,0,1,Condo,1,1,917425,Medium
4,1,2329,Harlem,2006,1,1,Condo,2,0,850902,Medium
3,3,1581,Queens,2005,0,1,House,1,0,725775,Low
3,1,3008,Queens,2002,0,1,House,2,0,882564,Medium
6,1,2951,Harlem,2018,1,1,Condo,3,1,1094239,High
6,2,895,Bronx,2010,1,1,Apartment,2,1,697791,Low
6,1,751,Staten Island,2008,0,1,Apartment,3,1,657450,Low
6,3,2569,Queens,1980,0,0,Apartment,2,1,980002,High
6,2,3894,Queens,1989,1,1,Apartment,2,0,1177467,High
6,3,1819,Bronx,1983,1,1,Condo,2,1,938387,Medium
5,1,1199,Brooklyn,2010,0,0,Apartment,3,1,718002,Low
3,3,1922,Queens,1983,1,0,House,3,0,795511,Medium
6,3,2152,Harlem,2008,1,0,Apartment,1,1,972848,High
3,1,2111,Harlem,1988,1,0,Apartment,2,1,724075,Low
3,1,2858,Queens,1994,0,1,Condo,1,1,836694,Medium
2,2,831,Brooklyn,2020,0,1,Apartment,3,0,591173,Low
5,2,3517,Harlem,1982,0,0,Condo,1,0,1027015,High
6,4,3342,Queens,1994,0,1,Condo,1,0,1149972,High
1,2,966,Queens,1990,1,1,Apartment,2,0,494437,Low
4,1,1080,Queens,1985,1,0,Condo,2,1,587133,Low
1,3,1171,Staten Island,1986,0,1,House,3,0,547924,Low
5,3,1802,Harlem,1983,0,1,Condo,1,0,837187,Medium
4,2,2107,Manhattan,2000,0,1,Condo,3,1,954756,High
5,2,2212,Staten Island,1980,1,1,Apartment,2,1,882942,Medium
3,1,2170,Brooklyn,2002,0,0,Apartment,3,0,731495,Low
4,3,1529,Staten Island,1992,1,0,Condo,2,0,692648,Low
3,4,1639,Staten Island,2022,0,1,House,3,0,718572,Low
1,4,3113,Bronx,2007,1,1,House,2,1,923495,Medium
1,2,2025,Brooklyn,2008,1,1,Condo,2,1,745461,Low
4,4,2941,Brooklyn,1997,1,1,Condo,3,0,1099584,High
4,1,770,Brooklyn,2002,0,0,Condo,3,0,615704,Low
6,4,1655,Staten Island,2007,0,1,Condo,2,0,872137,Medium
5,2,2910,Brooklyn,1988,0,0,Apartment,3,1,1000163,High
6,1,1838,Harlem,2022,0,1,Condo,1,0,868531,Medium
5,3,2606,Bronx,1985,0,1,Condo,1,1,967045,High
6,1,3205,Queens,1995,1,1,House,1,0,1088899,High
3,2,788,Staten Island,2016,1,0,Condo,3,0,525070,Low
4,2,1385,Queens,1980,0,0,Condo,2,1,711581,Low
1,4,1182,Queens,2001,0,1,Condo,3,0,610494,Low
5,4,3649,Staten Island,2002,1,1,Condo,1,1,1151214,High
5,3,2431,Harlem,2000,1,0,Condo,3,0,934860,Medium
1,3,1199,Staten Island,2010,0,1,House,2,1,580817,Low
6,2,1445,Brooklyn,2017,0,1,Apartment,1,1,900615,Medium
5,2,3932,Bronx,2007,0,0,Apartment,3,1,1085670,High
3,2,2629,Staten Island,2006,0,0,House,2,0,775086,Medium
4,3,1805,Queens,2018,1,0,Condo,2,0,776234,Medium
1,2,2989,Staten Island,2021,0,1,House,3,0,786435,Medium
4,3,1553,Bronx,2021,1,1,Condo,3,1,788336,Medium
5,2,2669,Manhattan,1992,0,1,Apartment,2,1,1085405,High
5,1,1697,Harlem,2011,1,1,Apartment,2,1,834477,Medium
1,1,2225,Queens,1986,0,1,Apartment,1,1,642523,Low
3,2,2470,Manhattan,2012,0,0,Condo,2,0,896537,Medium
2,1,765,Manhattan,1992,1,0,Condo,3,0,600043,Low
1,3,2624,Bronx,2011,1,1,House,1,1,785514,Medium
2,4,833,Harlem,1986,1,1,Condo,3,0,641355,Low
6,1,1998,Staten Island,1991,1,1,Condo,1,0,844569,Medium
2,4,2056,Manhattan,2019,0,1,Apartment,3,0,876612,Medium
3,1,1240,Brooklyn,1994,1,0,Condo,1,1,657775,Low
6,3,1957,Staten Island,2000,0,1,House,1,1,908580,Medium
2,1,2427,Harlem,1991,0,1,House,3,1,770089,Medium
6,1,1206,Queens,1992,0,0,Apartment,2,0,660595,Low
2,2,1139,Staten Island,2019,0,1,Condo,1,1,525552,Low
3,4,3706,Bronx,2021,0,1,Apartment,3,1,1082352,High
2,4,2067,Bronx,2018,0,1,Apartment,1,0,715935,Low
2,3,3902,Queens,1981,1,1,House,1,0,1043705,High
2,3,2965,Queens,2008,0,0,Apartment,1,0,786585,Medium
1,4,942,Queens,2008,0,1,Apartment,3,0,542087,Low
1,2,3626,Bronx,2015,1,1,House,2,1,956229,High
1,2,1236,Harlem,2017,0,1,Apartment,1,0,519721,Low
3,4,678,Harlem,1986,1,1,Apartment,2,1,659910,Low
6,1,3540,Staten Island,2009,0,0,Condo,1,1,979870,High
5,4,3220,Manhattan,2002,0,0,Condo,3,1,1163589,High
2,1,3096,Manhattan,2007,1,1,Condo,1,1,980780,High
2,4,2929,Brooklyn,2002,1,1,Condo,1,1,981092,High
3,1,3322,Bronx,2015,0,0,House,1,1,878557,Medium
2,2,2704,Queens,2021,1,1,House,1,1,837981,Medium
1,4,790,Harlem,2008,0,0,Condo,3,1,528317,Low
5,3,1243,Staten Island,1983,1,1,Apartment,1,0,711011,Low
4,1,2086,Harlem,1999,1,0,Apartment,3,0,773102,Medium
2,2,2689,Bronx,1984,0,1,Apartment,1,0,755826,Low
1,3,2109,Brooklyn,1990,1,1,Condo,3,1,827840,Medium
4,2,3844,Harlem,1981,0,1,Apartment,1,1,1100054,High
5,1,3326,Manhattan,2020,0,0,House,1,0,1059416,High
4,4,3921,Staten Island,2003,1,1,Condo,1,1,1143740,High
1,2,3149,Manhattan,2012,1,1,Condo,3,0,992691,High
6,4,1816,Staten Island,2001,0,0,Apartment,2,0,836129,Medium
6,4,1389,Queens,1985,1,1,Condo,3,1,946963,High
4,2,3397,Staten Island,2003,0,0,Apartment,1,1,941916,High
3,2,1341,Queens,2008,1,1,Condo,2,1,700784,Low
4,2,2812,Bronx,2011,1,1,Apartment,3,1,928681,Medium
2,4,3402,Manhattan,2009,1,0,Apartment,3,0,1057145,High
2,3,689,Staten Island,2020,1,1,Apartment,1,1,475057,Low
6,1,2314,Staten Island,1982,1,0,Apartment,1,0,831645,Medium
3,3,1586,Brooklyn,2004,0,0,Apartment,3,0,732313,Low
1,4,3729,Manhattan,2007,0,0,House,1,0,991090,High
